country,year,continent,life_expectancy,population,co2_emissions,electric_power_consumption,forest_area,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,beer_consumption_per_capita
Moldova,2020,Europe,70.166,2635130,3.267846368,,11.75322187,59.15294877,0.37477067,0.133352331,91.1372487,
Mongolia,2000,Asia,62.869,2397417,3.754040286,1042.408388,9.217747761,1.255652004,2.022480608,17.77136779,62.03261754,0.67297
Mongolia,2001,Asia,63.319,2419594,3.707233528,1053.633974,9.212577928,1.653238239,1.781658408,17.03672918,63.52002727,0.54867
Mongolia,2002,Asia,63.777,2443261,3.92917514,1071.254103,9.207406751,2.039572603,1.795567211,16.3194606,64.99410515,0.52894
Mongolia,2003,Asia,64.23,2468765,3.771116497,1096.894683,9.159341159,3.895,1.509694317,15.6197797,66.45376001,0.5488
Mongolia,2004,Asia,64.671,2496394,3.829523873,1139.436115,9.155620805,5.609,1.382730063,14.93787836,67.89793174,0.53789
Mongolia,2005,Asia,65.103,2526429,4.377720656,1196.125291,9.150473846,7.897,1.017285885,14.27532254,69.32348476,0.38088
Mongolia,2006,Asia,65.538,2558854,4.853735335,1251.96473,9.12762336,9.347,0.961656696,13.63045368,70.73221214,0.4111
Mongolia,2007,Asia,65.985,2593819,5.019625678,1298.628214,9.122486789,9,1.053272166,13.00374101,72.12268312,0.94313
Mongolia,2008,Asia,66.447,2631899,4.928000758,1332.783822,9.117315129,9.8,0.823306745,12.39494138,73.49456647,1.05456
Mongolia,2009,Asia,66.916,2673794,5.101365454,1423.686851,9.112178302,10,0.629698225,11.80574044,74.84459678,1.10566
Mongolia,2010,Asia,67.38,2719902,5.261219125,1377.817438,9.108051793,10.2,0.762997246,11.23387774,76.17556961,1.61
Mongolia,2011,Asia,67.818,2770357,5.677968414,1488.656577,9.107573137,12.49999111,0.837270237,10.85756538,77.2156927,1.96
Mongolia,2012,Asia,68.217,2824698,6.067905096,1495.836096,9.10685778,16.4,0.924305618,10.5857921,78.10477003,2.29
Mongolia,2013,Asia,68.566,2881783,6.377995554,1588.134378,9.106135944,17.69998424,0.82231149,10.31492821,79.00078325,2.33
Mongolia,2014,Asia,68.863,2940111,6.163032906,1893.96634,9.105421354,19.94244743,0.859725258,10.04526185,79.90325263,2.12
Mongolia,2015,Asia,69.111,2998433,5.769680109,2006.386834,9.104691498,22.50000413,0.865841302,9.776212471,80.81301209,2.13
Mongolia,2016,Asia,69.865,3029555,5.998504731,,9.103978705,22.2657705,0.863910994,7.884762254,79.39908232,2.14
Mongolia,2017,Asia,70.237,3096030,6.32277465,,9.103265913,23.71426517,0.762153818,7.411403823,80.07253322,2.04
Mongolia,2018,Asia,71.199,3163991,6.809659067,,9.102555458,47.13000188,0.727577568,6.936500958,80.75155877,2.23
Mongolia,2019,Asia,71.822,3232430,7.160835656,,9.101825131,51.07999408,0.690477401,6.460665926,81.4356126,2.18
Mongolia,2020,Asia,72.141,3294335,6.430645335,,9.099658488,65.63058022,0.776864756,5.984513276,82.12411976,
Montenegro,2000,Europe,73.18207317,604950,2.512604347,6099.496,55.04,19.6345,4.5098,0.217,94.811,7.43098
Montenegro,2001,Europe,73.1875122,607389,2.749473566,6203.311,55.269,20.861,4.467,0.206,95.18,6.419
Montenegro,2002,Europe,73.23726829,609828,2.902457711,6274.026,55.354,21.329,3.906,0.194,95.185,5.499
Montenegro,2003,Europe,73.31853659,612267,3.08688854,6011.159,55.448,24.298,3.47,0.194,95.185,5.113
Montenegro,2004,Europe,73.42926829,613353,3.325980246,6020.725,55.5,25.3500686,3.427,0.185,95.185,5.112
Montenegro,2005,Europe,73.98292683,614261,3.255944948,6255.169,55.501,27.1,2.694363326,0.178,95.185,5.111
Montenegro,2006,Europe,73.83902439,615025,3.544571467,6314.905228,55.50929368,28.9,2.290712107,0.162398265,95.18596996,5.10926
Montenegro,2007,Europe,74.33902439,615875,3.409782674,6451.770253,57.00371747,30.8,1.744059784,0.156024018,95.43022465,5.26392
Montenegro,2008,Europe,75.13658537,616969,4.360024664,6564.643799,58.49814126,32.9,1.872181859,0.149679399,95.67468802,5.46419
Montenegro,2009,Europe,75.14390244,618294,2.830368724,6287.187849,59.99256506,35.1,1.843759425,0.143368235,95.91929764,4.47236
Montenegro,2010,Europe,75.9902439,619428,4.16513287,5010.561319,61.48698885,37.5,1.814347747,0.13708767,96.164094,4.2
Montenegro,2011,Europe,75.98292683,620079,4.09625219,5419.51607,61.48698885,35.61154125,1.74896716,0.130836387,96.40909797,4
Montenegro,2012,Europe,76.2,620601,3.754425023,5741.203943,61.48698885,56.83878255,1.656463334,0.1246144,96.65431052,4.28
Montenegro,2013,Europe,76.4902439,621207,3.654176435,5415.717989,61.48698885,60.31,1.452262722,0.118420605,96.89974764,3.94
Montenegro,2014,Europe,76.44146341,621810,3.570222461,4574.964545,61.48698885,61,1.472271497,0.112255134,97.14541049,3.58
Montenegro,2015,Europe,76.44878049,622159,3.793242395,4612.34139,61.48698885,68.11978601,1.40371624,0.106118121,97.39129537,3.5
Montenegro,2016,Europe,76.44146341,622303,3.456033476,,61.48698885,69.88164684,1.411280635,0.100010669,97.63738506,3.54
Montenegro,2017,Europe,76.48536585,622373,3.642510199,,61.48698885,71.27233254,1.362776774,0.093931847,97.88369496,3.71
Montenegro,2018,Europe,76.84146341,622227,4.018308431,,61.48698885,71.51710049,1.369294873,0.048481523,98.50629847,3.83
Montenegro,2019,Europe,76.68292683,622028,4.181644556,,61.48698885,73.47666575,1.334411964,0.045135001,98.68140384,3.83
Montenegro,2020,Europe,75.93170732,621306,4.067560912,,61.48698885,77.60879306,1.73802726,0.041845761,98.85691237,
Morocco,2000,Africa,68.684,28793672,1.141917571,453.339361,12.338203,0.693791245,2.210962207,22.83758766,62.49829228,0.21
Morocco,2001,Africa,69.193,29126323,1.245265322,490.0382278,12.37585257,1.371438101,3.726135883,21.94513332,63.73406864,0.23
Morocco,2002,Africa,69.769,29454765,1.272120189,524.9203616,12.41350213,2.373253192,3.491787992,21.04209616,65.11268975,0.24
Morocco,2003,Africa,70.399,29782884,1.250718366,536.0083504,12.45115169,3.353366681,3.494207542,20.12892514,66.49059949,0.22
Morocco,2004,Africa,71.067,30115196,1.36110692,581.6427986,12.48880125,11.60793477,3.249467575,19.20475064,67.86815937,0.22
Morocco,2005,Africa,71.746,30455563,1.430937324,612.2822511,12.52645082,15.08444452,3.257996782,17.98716115,69.35375676,0.23
Morocco,2006,Africa,72.403,30804689,1.460816566,634.4653684,12.56410038,19.77119157,3.109796334,16.72820248,70.85193792,0.22
Morocco,2007,Africa,73.009,31163670,1.487308731,688.1744529,12.60174994,21.5,3.046953664,15.49423167,72.33844751,0.22
Morocco,2008,Africa,73.546,31536807,1.542007758,717.2775222,12.63939951,33.1,3.183501428,14.28548964,73.81241348,0.24
Morocco,2009,Africa,74.003,31929087,1.526820983,733.5238472,12.67704907,41.3,3.288651846,13.1021306,75.27306806,0.23
Morocco,2010,Africa,74.382,32343384,1.600327236,745.7150278,12.71469863,52,3.390796101,11.94317177,76.72145338,0.2
Morocco,2011,Africa,74.696,32781860,1.706431503,775.9546744,12.7192337,46.1074826,3.297495235,10.80933731,78.15588754,0.18
Morocco,2012,Africa,74.97,33241898,1.747192709,825.8225738,12.72376877,55.41605319,3.462750079,9.700214765,79.57650954,0.18
Morocco,2013,Africa,75.227,33715705,1.708106064,876.8452391,12.72830383,56,3.805782901,8.615873146,80.98264576,0.18
Morocco,2014,Africa,75.477,34192358,1.716465376,881.4289958,12.7328389,56.8,3.677856352,7.555940621,82.37439241,0.15
Morocco,2015,Africa,75.726,34663608,1.742749914,904.4418639,12.73737396,57.07999935,3.230153348,6.520443469,83.75113288,0.16
Morocco,2016,Africa,73.284,35107264,1.71730557,,12.77120771,58.27123642,3.220575013,3.923851066,81.0481698,0.17
Morocco,2017,Africa,73.66,35528115,1.773662915,,12.79764732,61.76221201,3.183795794,2.852730241,82.0318146,0.17
Morocco,2018,Africa,73.986,35927511,1.789327961,,12.82005378,64.80386519,3.130136053,1.808473708,84.03338117,0.18
Morocco,2019,Africa,74.27,36304408,1.955308017,,12.84358055,84.12036305,3.082149121,0.790882178,84.98185076,0.18
Morocco,2020,Africa,73.92,36688772,1.818526387,,12.86688326,84.12036305,4.209657271,0,85.91876283,
Mozambique,2000,Africa,48.946,17711925,0.080736566,69.24076859,52.37671355,0.10959253,1.284457907,59.7169659,21.09908528,0.53627
